Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,03-01-1983
20020917X01764,Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,,,,,Incident,Minor,Airplane,N5782N,Rockwell,114,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,05-01-1983
20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983
20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,,,IAD,,Incident,Minor,Airplane,N9240N,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,IMC,Descent,Probable Cause,19-01-1983
20020917X02334,Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,,,SJC,SAN JOSE MUNICIPAL,Incident,Minor,Airplane,N74HP,Piper,PA-31-350,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,20-01-1983
20020917X02335,Incident,LAX82IA062,1982-01-30,"TRUCKEE, CA",United States,,,TRK,TRUCKEE TAHOE,Incident,Minor,Airplane,N9674C,Piper,PA-28R-201T,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-01-1983
20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,,,ONT,ONTARIO INTERNATIONAL,Incident,Minor,Airplane,N73717,Boeing,B737-2H4,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,Aircal,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,15-02-1983
20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Cascade Airways, Inc.",0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983
20020917X01770,Incident,ATL82IA060,1982-02-26,"ATLANTA, GA",United States,,,PDK,DEKALB PEACHTREE,Incident,Minor,Airplane,N10AY,Beech,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Hanger One,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,26-02-1983
20020917X02337,Incident,LAX82IA086,1982-02-27,"WELDON, CA",United States,,,,,Incident,Minor,Airplane,N9361E,Aeronca,11AC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,27-02-1983
20020917X02419,Incident,MIA82IA066,1982-03-08,"NEAR MELBOURNE, FL",United States,,,,,Incident,Minor,Airplane,N3505Q,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,08-03-1983
20020917X01899,Incident,CHI82IA082,1982-03-09,"SOUTH BEND, IN",United States,,,SBN,MICHIANA REGIONAL,Incident,Minor,Airplane,N323BA,Swearingen,SA-266TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Britt Airways, Inc",0.0,0.0,0.0,9.0,UNK,Maneuvering,Probable Cause,09-03-1983
20020917X02572,Incident,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,,,LGA,LAGUARDIA (R/W 22),Incident,Minor,Airplane,N26210,Nord Aviation,262A-12,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Ransome Airlines, Inc",0.0,0.0,0.0,30.0,IMC,Climb,Probable Cause,11-03-1983
20020917X02152,Incident,FTW82IA095,1982-03-16,"CHICKASHA, OK",United States,,,CHK,CHICKASHA,Incident,Minor,Airplane,N6838A,Cessna,402C,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,16-03-1983
20020917X02153,Incident,FTW82IA146,1982-03-20,"HOUSTON, TX",United States,,,IAH,HOUSTON INTERCONTINENTAL,Incident,Minor,Airplane,N87Y,Rockwell,NA-265-80,No,2.0,Turbo Jet,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,IMC,Taxi,Probable Cause,20-03-1983
20020917X02420,Incident,MIA82IA082,1982-03-24,"DAYTONA BEACH, FL",United States,,,34J,NEW SMYRNA BEACH,Incident,Minor,Airplane,N257ER,Piper,PA-44,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,24-03-1983
20020917X01900,Incident,CHI82IA102,1982-03-25,"KALAMAZO, MI",United States,,,AZO,KALAMAZOO,Incident,Minor,Airplane,N20HR,Beech,65-88,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Basler Airlines,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-03-1983
20020917X01901,Incident,CHI82IA108,1982-03-30,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Incident,Minor,Airplane,N62Z,Swearingen,SA226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Britt Airways, Inc.",0.0,0.0,0.0,18.0,VMC,Takeoff,Probable Cause,30-03-1983
