Investigation.Type,Injury.Severity,Aircraft.damage,Registration.Number,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Incident,Incident,Minor,N5018P,0.0,0.0,0.0,1.0,VMC,Approach
Incident,Incident,Minor,N5782N,0.0,0.0,0.0,1.0,VMC,Cruise
Incident,Incident,Minor,N615KC,0.0,0.0,0.0,2.0,VMC,Taxi
Incident,Incident,Minor,N9240N,0.0,0.0,0.0,1.0,IMC,Descent
Incident,Incident,Minor,N74HP,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Incident,Minor,N9674C,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Incident,Minor,N73717,0.0,0.0,0.0,119.0,IMC,Approach
Incident,Incident,Minor,N101RA,0.0,0.0,0.0,16.0,VMC,Takeoff
Incident,Incident,Minor,N10AY,0.0,0.0,0.0,3.0,IMC,Landing
Incident,Incident,Minor,N9361E,0.0,0.0,1.0,0.0,VMC,Landing
Incident,Incident,Minor,N3505Q,0.0,0.0,0.0,1.0,VMC,Climb
Incident,Incident,Minor,N323BA,0.0,0.0,0.0,9.0,UNK,Maneuvering
Incident,Incident,Minor,N26210,0.0,0.0,0.0,30.0,IMC,Climb
Incident,Incident,Minor,N6838A,0.0,0.0,0.0,3.0,VMC,Takeoff
Incident,Incident,Minor,N87Y,0.0,0.0,0.0,2.0,IMC,Taxi
Incident,Incident,Minor,N257ER,0.0,0.0,0.0,2.0,VMC,Landing
Incident,Incident,Minor,N20HR,0.0,0.0,0.0,2.0,VMC,Approach
Incident,Incident,Minor,N62Z,0.0,0.0,0.0,18.0,VMC,Takeoff
Incident,Incident,Minor,N23BX,0.0,0.0,0.0,8.0,VMC,Taxi
Incident,Incident,Minor,N25MA,0.0,0.0,0.0,2.0,VMC,Cruise
Incident,Incident,Minor,N69341,0.0,0.0,0.0,3.0,IMC,Approach
Incident,Incident,Minor,N7627U,0.0,0.0,0.0,108.0,IMC,Landing
Incident,Incident,Minor,N95WA,0.0,0.0,0.0,11.0,VMC,Takeoff
Incident,Incident,Minor,N2N,0.0,0.0,0.0,2.0,VMC,Approach
Incident,Incident,Minor,N333EA,0.0,0.0,0.0,152.0,VMC,Landing
Incident,Incident,Minor,N53RT,0.0,0.0,0.0,7.0,VMC,Takeoff
Incident,Incident,Minor,N9783R,0.0,0.0,0.0,2.0,VMC,Cruise
Incident,Incident,Minor,N2048Z,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Incident,Minor,N2233Q,0.0,0.0,0.0,8.0,VMC,Taxi
Incident,Incident,Minor,N114GA,0.0,0.0,0.0,21.0,VMC,Landing
Incident,Incident,Minor,N88694,0.0,0.0,0.0,2.0,VMC,Landing
Incident,Incident,Minor,N222SA,0.0,0.0,0.0,7.0,VMC,Cruise
Incident,Incident,Minor,N59749,0.0,0.0,0.0,5.0,VMC,Cruise
Incident,Incident,Minor,N171DC,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Incident,Minor,N525N,0.0,0.0,0.0,10.0,VMC,Cruise
Incident,Incident,Minor,N201WX,0.0,0.0,0.0,4.0,VMC,Go-around
Incident,Incident,Minor,N919RW,0.0,0.0,0.0,84.0,VMC,Takeoff
Incident,Incident,Minor,N33226,0.0,0.0,0.0,4.0,IMC,Cruise
Incident,Incident,Minor,N3606B,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Incident,Minor,N26005,0.0,0.0,0.0,1.0,VMC,Taxi
Incident,Incident,Minor,N64323,0.0,0.0,0.0,129.0,IMC,Approach
Incident,Incident,Minor,N6292D,0.0,0.0,0.0,2.0,VMC,Maneuvering
Incident,Incident,Minor,N714TA,0.0,0.0,0.0,2.0,VMC,Taxi
Incident,Incident,Minor,N21254,0.0,0.0,0.0,3.0,VMC,Approach
Incident,Incident,Minor,N70604,0.0,0.0,0.0,2.0,VMC,Cruise
Incident,Incident,Minor,N312MA,0.0,0.0,0.0,2.0,VMC,Climb
Incident,Incident,Minor,N7356F,0.0,0.0,0.0,102.0,VMC,Takeoff
Incident,Incident,Minor,N7043Z,0.0,0.0,1.0,0.0,VMC,Maneuvering
Incident,Incident,Minor,N7345F,0.0,0.0,33.0,0.0,IMC,Approach
Incident,Incident,Minor,N1717U,0.0,0.0,0.0,1.0,VMC,Cruise
Incident,Incident,Minor,N1969J,0.0,0.0,1.0,0.0,VMC,Descent
Incident,Incident,Minor,N104WA,0.0,0.0,0.0,393.0,VMC,Takeoff
Incident,Incident,Minor,N2163W,0.0,0.0,0.0,1.0,VMC,Standing
Incident,Incident,Minor,N3870G,0.0,0.0,0.0,1.0,VMC,Approach
Incident,Incident,Minor,N8245N,0.0,0.0,0.0,1.0,VMC,Approach
Incident,Incident,Minor,N261S,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Incident,Minor,N6868D,0.0,0.0,0.0,3.0,IMC,Cruise
Incident,Incident,Minor,N5471M,0.0,0.0,0.0,5.0,VMC,Other
Incident,Incident,Minor,N220HB,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Incident,Minor,N4745B,0.0,0.0,0.0,3.0,VMC,Takeoff
Incident,Incident,Minor,N24236,0.0,0.0,0.0,3.0,VMC,Takeoff
Incident,Incident,Minor,N61366,0.0,0.0,0.0,7.0,VMC,Approach
Incident,Incident,Minor,N4025W,0.0,0.0,0.0,1.0,VMC,Taxi
Incident,Incident,Minor,N536TX,0.0,0.0,0.0,65.0,VMC,Takeoff
Incident,Incident,Minor,N5742T,0.0,0.0,0.0,4.0,VMC,Taxi
Incident,Incident,Minor,N25973,0.0,0.0,0.0,4.0,VMC,Taxi
Incident,Incident,Minor,N3904,0.0,0.0,0.0,1.0,VMC,Takeoff
Incident,Incident,Minor,N213DS,0.0,0.0,0.0,2.0,VMC,Takeoff
Incident,Incident,Minor,N4099A,0.0,0.0,0.0,2.0,VMC,Landing
Incident,Incident,Minor,N50DA,0.0,0.0,1.0,2.0,VMC,Approach
Incident,Incident,Minor,N4814C,0.0,0.0,0.0,3.0,VMC,Cruise
Incident,Incident,Minor,N8432Q,0.0,0.0,0.0,3.0,VMC,Landing
Incident,Incident,Minor,N5BA,0.0,0.0,0.0,2.0,VMC,Descent
Incident,Incident,Minor,N846AA,0.0,0.0,0.0,23.0,IMC,Landing
Incident,Incident,Minor,N501BC,0.0,0.0,0.0,4.0,VMC,Landing
Incident,Incident,Minor,N798N,0.0,0.0,0.0,5.0,VMC,Approach
Incident,Incident,Minor,N8871Z,0.0,0.0,0.0,21.0,VMC,Takeoff
Incident,Incident,Minor,N3809E,0.0,0.0,0.0,2.0,VMC,Landing
Incident,Incident,Minor,N153TG,0.0,0.0,0.0,3.0,VMC,Takeoff
Incident,Incident,Minor,N1218V,0.0,0.0,0.0,1.0,IMC,Climb
Incident,Incident,Minor,N1500E,0.0,0.0,0.0,3.0,VMC,Cruise
Incident,Incident,Minor,N6338T,0.0,0.0,0.0,4.0,VMC,Landing
Incident,Incident,Minor,N85BH,0.0,0.0,0.0,10.0,VMC,Cruise
Incident,Incident,Minor,N600TS,0.0,0.0,0.0,2.0,VMC,Landing
Incident,Incident,Minor,N6262P,0.0,0.0,0.0,1.0,VMC,Landing
Incident,Incident,Minor,N5475M,0.0,0.0,0.0,11.0,IMC,Takeoff
Incident,Incident,Minor,N6810,0.0,0.0,0.0,58.0,IMC,Go-around
Incident,Incident,Minor,N536JB,0.0,0.0,0.0,146.0,VMC,Takeoff
Incident,Incident,Minor,N105GC,0.0,0.0,0.0,1.0,VMC,Cruise
Incident,Incident,Minor,N3120T,0.0,0.0,0.0,1.0,VMC,Descent
Incident,Incident,Minor,N47BC,0.0,0.0,0.0,4.0,VMC,Climb
