Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N101RA,Embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Cascade Airways, Inc.",0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983
20020917X01899,Incident,CHI82IA082,1982-03-09,"SOUTH BEND, IN",United States,,,SBN,MICHIANA REGIONAL,Incident,Minor,Airplane,N323BA,Swearingen,SA-266TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Britt Airways, Inc",0.0,0.0,0.0,9.0,UNK,Maneuvering,Probable Cause,09-03-1983
20020917X02572,Incident,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,,,LGA,LAGUARDIA (R/W 22),Incident,Minor,Airplane,N26210,Nord Aviation,262A-12,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Ransome Airlines, Inc",0.0,0.0,0.0,30.0,IMC,Climb,Probable Cause,11-03-1983
20020917X01902,Incident,CHI82IA112,1982-04-02,"DETROIT, MI",United States,,,DTW,DETROIT METRO,Incident,Minor,Airplane,N23BX,Rockwell,SABRELINER 65,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,02-04-1983
20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,Airplane,N333EA,Lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,152.0,VMC,Landing,Probable Cause,20-04-1983
20020917X03894,Incident,MKC82IA079,1982-05-13,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL,Incident,Minor,Airplane,N2233Q,Cessna,402B,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Trans Mo Airlines,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,13-05-1983
20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,,,GCC,GILLETTE-CAMPBELL COUNTY,Incident,Minor,Airplane,N114GA,Gulfstream American,G-159C,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,"U.s. Aviation, Inc./air U.s.,",0.0,0.0,0.0,21.0,VMC,Landing,Probable Cause,18-05-1983
20020917X03511,Incident,FTW82IA209,1982-05-28,"LAKE CHARLES, LA",United States,,,,,Incident,Minor,Airplane,N222SA,Piper,PA-31P-135,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,28-05-1983
20020917X02894,Incident,ATL82IA170,1982-06-20,"DAUPHIN ISLAND, AL",United States,,,4R9,DAUPHIN ISLAND,Incident,Minor,Airplane,N201WX,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Go-around,Probable Cause,20-06-1983
20020917X02895,Incident,ATL82IA198,1982-07-15,"NEAR SPARTA, GA",United States,,,,,Incident,Minor,Airplane,N33226,Cessna,177RG,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,15-07-1983
20020917X03729,Incident,LAX82IA309,1982-08-21,"HONOLULU, HI",United States,,,HNL,HONOLULU,Incident,Minor,Airplane,N104WA,Mcdonnell Douglas,DC-10-30F,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"World Airways, Inc.",0.0,0.0,0.0,393.0,VMC,Takeoff,Probable Cause,21-08-1983
20020917X05072,Incident,NYC83IA013A,1982-10-25,"AUGUSTA, ME",United States,,,AUG,AUGUSTA,Incident,Minor,Airplane,N25973,Piper,J3C-65,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,25-10-1983
20020917X04436,Incident,CHI83IA054,1982-12-10,"OVER FARGO, ND",United States,,,,,Incident,Minor,Airplane,N1500E,Gates Lear Jet,35A,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,10-12-1983
20001213X35324,Incident,CHI87IA047,1986-12-11,"PADUCAH, KY",United States,,,PAH,BARKLEY REGIONAL,Incident,Minor,,N323BA,Fairchild,SA226TC,No,2.0,Turbo Prop,,UNK,Positioning,,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,
20181009X31826,Accident,GAA19CA010,2018-10-08,"Crowley, LA",United States,030318N,0921445W,PVT,Private,Non-Fatal,Substantial,Airplane,N1500E,Air Tractor,AT 402,No,1.0,Turbo Prop,137,,Aerial Application,Leleuxs Flying Service Inc.,0.0,0.0,0.0,1.0,VMC,,"The pilot's selection of unsuitable terrain for takeoff, which resulted in a collision with vegetation and a subsequent loss of directional control.

",25-09-2020
