Make,Model
Air Tractor,AT 402
Airbus Industrie,A320
Aviat,A-1B
Beech,100
Beech,18
Beech,65-88
Beech,99
Beech,B200
Beech,B90
Beech,B99
Beech,BE-99
Beech,C23
Beech,E18S
Beech,E90
Beech,F33A
Beech,M35
Bell,206B-3
Boeing,727-200
Boeing,727-225
Boeing,737-201
Boeing,B737-2H4
Cessna,172E
Cessna,177RG
Cessna,182P
Cessna,185
Cessna,206B
Cessna,207
Cessna,402C
Cessna,404
Cessna,421B
Cessna,421C
Cessna,551
Convair,340
De Havilland,DHC-6-100
De Havilland,DHC-6-300
Douglas,DC-9-30
Douglas,DC-9-31
Embraer,EMB-110P1
Embraer,EMB-11OP1
Fairchild,SA226TC
Fairchild/swearingen,SA226TC
Gates Lear Jet,35A
Gulfstream American,G-159
Gulfstream American,G-159C
Lockheed,L-1011
Mcdonnell Douglas,DC-10-30F
Mooney,M20J
Nord Aviation,262A-12
PIPER,J3C 65
Piper,J-3
Piper,J3C-65
Piper,PA-23-250
Piper,PA-24-180
Piper,PA-25-235
Piper,PA-28R-201T
Piper,PA-31-325
Piper,PA-31P
Piper,PA-31P-135
Piper,PA-32
Piper,PA-32-300
Piper,PA-32R-301T
Piper,PA-34-22OT
Piper,PA-44
Piper,PA-44-180
Piper,PA-46-310P
Rockwell,114
Rockwell,NA-265-65
Rockwell,NA-265-80
Rockwell,SABRELINER 65
Short Bros.,SC7 SERIES 3
Swearingen,SA-266TC
Swearingen,SA226TC
